bps_kode_provinsi;bps_nama_provinsi;tahun;triwulan;kode_lapangan_usaha;lapangan_usaha;pdrb;satuan
11;Aceh;2022;;A;Pertanian. Kehutanan. dan Perikanan;62311.54;Miliar Rupiah
11;Aceh;2022;;B;Pertambangan dan Penggalian;21162.76;Miliar Rupiah
11;Aceh;2022;;C;Industri Pengolahan;10874.89;Miliar Rupiah
11;Aceh;2022;;D;Pengadaan Listrik dan Gas;238.19;Miliar Rupiah
11;Aceh;2022;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";94.71;Miliar Rupiah
11;Aceh;2022;;F;Konstruksi;19053.28;Miliar Rupiah
11;Aceh;2022;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";29361.36;Miliar Rupiah
11;Aceh;2022;;H;Transportasi dan Pergudangan;11497.64;Miliar Rupiah
11;Aceh;2022;;I;Penyediaan Akomodasi dan Makan Minum;3574.51;Miliar Rupiah
11;Aceh;2022;;J;Informasi dan Komunikasi;6202.61;Miliar Rupiah
11;Aceh;2022;;K;Jasa Keuangan dan Asuransi;3622.21;Miliar Rupiah
11;Aceh;2022;;L;Real Estat;8131.68;Miliar Rupiah
11;Aceh;2022;;M. N;Jasa Perusahaan;1342.92;Miliar Rupiah
11;Aceh;2022;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;18754.54;Miliar Rupiah
11;Aceh;2022;;P;Jasa Pendidikan;5776.94;Miliar Rupiah
11;Aceh;2022;;Q;Jasa Kesehatan dan Kegiatan Sosial;6801.17;Miliar Rupiah
11;Aceh;2022;;R. S. T. U;Jasa Lainnya;2949.08;Miliar Rupiah
11;Aceh;2023;Triwulan 1;A;Pertanian. Kehutanan. dan Perikanan;16062.68;Miliar Rupiah
11;Aceh;2023;Triwulan 2;B;Pertambangan dan Penggalian;4759.21;Miliar Rupiah
11;Aceh;2023;Triwulan 3;C;Industri Pengolahan;2514.81;Miliar Rupiah
11;Aceh;2023;Triwulan 4;D;Pengadaan Listrik dan Gas;60.76;Miliar Rupiah
11;Aceh;2023;Triwulan 5;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";23.69;Miliar Rupiah
11;Aceh;2023;Triwulan 6;F;Konstruksi;4767.25;Miliar Rupiah
11;Aceh;2023;Triwulan 7;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";8439.59;Miliar Rupiah
11;Aceh;2023;Triwulan 8;H;Transportasi dan Pergudangan;3422.88;Miliar Rupiah
11;Aceh;2023;Triwulan 9;I;Penyediaan Akomodasi dan Makan Minum;946.39;Miliar Rupiah
11;Aceh;2023;Triwulan 10;J;Informasi dan Komunikasi;1638.21;Miliar Rupiah
11;Aceh;2023;Triwulan 11;K;Jasa Keuangan dan Asuransi;992.06;Miliar Rupiah
11;Aceh;2023;Triwulan 12;L;Real Estat;2071.39;Miliar Rupiah
11;Aceh;2023;Triwulan 13;M. N;Jasa Perusahaan;344.53;Miliar Rupiah
11;Aceh;2023;Triwulan 14;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;4287.47;Miliar Rupiah
11;Aceh;2023;Triwulan 15;P;Jasa Pendidikan;1471.42;Miliar Rupiah
11;Aceh;2023;Triwulan 16;Q;Jasa Kesehatan dan Kegiatan Sosial;1655.32;Miliar Rupiah
11;Aceh;2023;Triwulan 17;R. S. T. U;Jasa Lainnya;788.42;Miliar Rupiah
