bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;nilai;satuan
11;Aceh;1116;Kabupaten Aceh Jaya;2017;25.39;Juta Rupiah
11;Aceh;1117;Kabupaten Bener Meriah;2017;28.05;Juta Rupiah
11;Aceh;1118;Kabupaten Pidie Jaya;2017;19.46;Juta Rupiah
11;Aceh;1171;Kota Banda Aceh;2017;64.21;Juta Rupiah
11;Aceh;1172;Kota Sabang;2017;37.45;Juta Rupiah
11;Aceh;1173;Kota Langsa;2017;26.45;Juta Rupiah
11;Aceh;1174;Kota Lhokseumawe;2017;40.56;Juta Rupiah
11;Aceh;1175;Kota Subulussalam;2017;19.5;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2018;22.11;Juta Rupiah
11;Aceh;1102;Kabupaten Aceh Singkil;2018;18.53;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2018;22.11;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2018;21.46;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2018;22.65;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2018;34.43;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2018;37.35;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2018;29.83;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2018;22.53;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2018;26.19;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2018;30.77;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2018;24.54;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2018;27.54;Juta Rupiah
11;Aceh;1114;Kabupaten Aceh Tamiang;2018;24.02;Juta Rupiah
11;Aceh;1115;Kabupaten Nagan Raya;2018;42.11;Juta Rupiah
11;Aceh;1116;Kabupaten Aceh Jaya;2018;26.67;Juta Rupiah
11;Aceh;1117;Kabupaten Bener Meriah;2018;28.96;Juta Rupiah
11;Aceh;1118;Kabupaten Pidie Jaya;2018;20.5;Juta Rupiah
11;Aceh;1171;Kota Banda Aceh;2018;66.46;Juta Rupiah
11;Aceh;1172;Kota Sabang;2018;40.43;Juta Rupiah
11;Aceh;1173;Kota Langsa;2018;27.96;Juta Rupiah
11;Aceh;1174;Kota Lhokseumawe;2018;41.6;Juta Rupiah
11;Aceh;1175;Kota Subulussalam;2018;20.23;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2019;23.49;Juta Rupiah
11;Aceh;1102;Kabupaten Aceh Singkil;2019;19.62;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2019;22.93;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2019;23.01;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2019;23.91;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2019;35.73;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2019;38.56;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2019;31.64;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2019;23.84;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2019;27.78;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2019;31.96;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2019;25.74;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2019;28.1;Juta Rupiah
11;Aceh;1114;Kabupaten Aceh Tamiang;2019;25.13;Juta Rupiah
11;Aceh;1115;Kabupaten Nagan Raya;2019;45.02;Juta Rupiah
11;Aceh;1116;Kabupaten Aceh Jaya;2019;27.72;Juta Rupiah
11;Aceh;1117;Kabupaten Bener Meriah;2019;30.29;Juta Rupiah
11;Aceh;1118;Kabupaten Pidie Jaya;2019;21.75;Juta Rupiah
11;Aceh;1171;Kota Banda Aceh;2019;69.25;Juta Rupiah
11;Aceh;1172;Kota Sabang;2019;44.61;Juta Rupiah
11;Aceh;1173;Kota Langsa;2019;29.7;Juta Rupiah
11;Aceh;1174;Kota Lhokseumawe;2019;43.56;Juta Rupiah
11;Aceh;1175;Kota Subulussalam;2019;21.59;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2020;24.55;Juta Rupiah
11;Aceh;1102;Kabupaten Aceh Singkil;2020;19.23;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2020;23.85;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2020;23;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2020;25.18;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2020;34.41;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2020;40.9;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2020;32.95;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2020;24.78;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2020;30.03;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2020;32.76;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2020;26.07;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2020;27.18;Juta Rupiah
11;Aceh;1114;Kabupaten Aceh Tamiang;2020;25.59;Juta Rupiah
11;Aceh;1115;Kabupaten Nagan Raya;2020;45.63;Juta Rupiah
11;Aceh;1116;Kabupaten Aceh Jaya;2020;28.29;Juta Rupiah
11;Aceh;1117;Kabupaten Bener Meriah;2020;28.23;Juta Rupiah
11;Aceh;1118;Kabupaten Pidie Jaya;2020;22.17;Juta Rupiah
11;Aceh;1171;Kota Banda Aceh;2020;73.31;Juta Rupiah
11;Aceh;1172;Kota Sabang;2020;37.41;Juta Rupiah
11;Aceh;1173;Kota Langsa;2020;28.49;Juta Rupiah
11;Aceh;1174;Kota Lhokseumawe;2020;47.05;Juta Rupiah
11;Aceh;1175;Kota Subulussalam;2020;20;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2021;26.15;Juta Rupiah
11;Aceh;1102;Kabupaten Aceh Singkil;2021;21.13;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2021;25.47;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2021;24.24;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2021;27.4;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2021;36.86;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2021;49.8;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2021;34.24;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2021;25.84;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2021;31.91;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2021;38.08;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2021;27.13;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2021;28.32;Juta Rupiah
11;Aceh;1114;Kabupaten Aceh Tamiang;2021;29.83;Juta Rupiah
11;Aceh;1115;Kabupaten Nagan Raya;2021;53.43;Juta Rupiah
11;Aceh;1116;Kabupaten Aceh Jaya;2021;30.28;Juta Rupiah
11;Aceh;1117;Kabupaten Bener Meriah;2021;30.62;Juta Rupiah
11;Aceh;1118;Kabupaten Pidie Jaya;2021;22.99;Juta Rupiah
11;Aceh;1171;Kota Banda Aceh;2021;78.06;Juta Rupiah
11;Aceh;1172;Kota Sabang;2021;38.42;Juta Rupiah
11;Aceh;1173;Kota Langsa;2021;30.61;Juta Rupiah
11;Aceh;1174;Kota Lhokseumawe;2021;49.34;Juta Rupiah
11;Aceh;1175;Kota Subulussalam;2021;22.83;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2022;28.12;Juta Rupiah
